Id,lat,lon
0,5.5147971,-73.3581046
1,10.6377044,-74.9346463
2,11.1911461,-74.2240122
3,10.9460744,-74.7676676
4,3.3733871,-76.549278
5,10.936551699999999,-74.79052709999999
6,10.41463575,-75.4676314405678
7,3.4193284,-76.50786120000001
8,10.504907199999998,-74.81504559999999
9,3.4146243999999997,-76.4776578
10,6.4940893,-74.40396590000002
11,3.4082092000000004,-76.50423509999999
12,3.4254814,-76.50000340000001
13,3.9014773999999997,-76.2966606
14,11.2247025,-74.1499017
15,10.8625215,-74.7704722
16,3.4277191,-76.518461
17,10.3433792,-75.41994059999999
18,10.9661019,-74.8099773
19,10.3813596,-75.47407679999999
20,5.6535527000000005,-72.28055340000002
21,10.941253699999999,-74.7798753
22,10.3813596,-75.47407679999999
23,6.969565299999999,-75.4205927
24,7.0964944,-73.1147901
25,6.2594599,-75.56512690000001
26,3.456311,-76.46226429999999
27,9.2307636,-74.4211923
28,3.4316953999999997,-76.5177235
29,4.7610475999999995,-75.9250344
30,3.4055171000000004,-76.41561899999999
31,3.3733871,-76.549278
32,3.4055171000000004,-76.41561899999999
33,3.4029502999999997,-76.4729452
34,10.3839036,-75.47746670000001
35,3.6877631,-77.08305809999999
36,10.392366099999998,-75.4882584
37,9.1387455,-74.64729709999999
38,10.725371800000001,-74.91527430000001
39,10.387380699999998,-75.4994516
40,9.31621,-75.3934344
41,4.55028765,-74.13989155138144
42,3.4157222999999997,-76.5150101
43,9.3363406,-75.11443620000001
44,3.4255154,-76.5026934
45,10.4154523,-75.4664645
46,8.2616852,-72.40517559999999
47,4.55028765,-74.13989155138144
48,3.4058660000000005,-76.5005929
49,8.0524033,-74.13451640000001
50,4.55028765,-74.13989155138144
51,5.7904633,-75.42841329999999
52,10.9815586,-74.8184693
53,2.2493392000000005,-72.6665936
54,4.0949032,-76.2031348
55,10.9770446,-74.7767704
56,10.990375300000002,-74.7994589
57,10.9500328,-74.77965390000001
58,10.8906326,-74.8086605
59,10.9764246,-74.7755328
60,10.9557903,-74.7821309
61,10.890993199999999,-74.8870696
62,10.9177212,-74.8839212
63,10.967937699999998,-74.7738323
64,11.0012067,-74.8128438
65,10.8629864,-74.8434135
66,10.9708883,-74.8316987
67,10.9850897,-74.80983379999999
68,4.305353500000001,-74.7988787
69,11.240209199999999,-74.2132965
70,11.253461999999999,-74.2099704
71,10.902760800000001,-74.800439
72,9.5862624,-74.3971887
73,9.2307636,-74.4211923
74,6.716125099999999,-72.7289207
75,10.4112159,-75.4698862
76,6.48895065,-74.40804947452163
77,8.7226038,-76.16151550000001
78,9.63716,-73.8773997
79,11.225793800000002,-74.1947425
80,3.86398815,-67.92944328021525
81,3.86398815,-67.92944328021525
82,8.7226038,-76.16151550000001
83,8.7226038,-76.16151550000001
84,7.603343499999999,-75.2042064
85,11.1289814,-74.22088149999999
86,5.4445062,-74.7613762
